0	0	-234.0	1841.0	0.0	1
0	1	-1544.0	1841.0	0.0	1
0	2	-889.0	1841.0	1882.5	21
1	3	-1841.0	1740.0	0.0	1
1	4	-1841.0	430.0	0.0	1
1	5	-1841.0	1085.0	1882.5	21
1	6	-1871.5	0.0	1913.0	22
1	7	-1760.5	0.0	-19.5	2
2	8	-1841.0	-1740.0	0.0	1
2	9	-1841.0	-430.0	0.0	1
2	10	-1841.0	-1085.0	1882.5	21
3	11	-1544.0	-1841.0	0.0	1
3	12	-234.0	-1841.0	0.0	1
3	13	-889.0	-1841.0	1882.5	21
4	14	234.0	-1841.0	0.0	1
4	15	1544.0	-1841.0	0.0	1
4	16	889.0	-1841.0	1882.5	21
5	17	1841.0	-1740.0	0.0	1
5	18	1841.0	-430.0	0.0	1
5	19	1841.0	-1085.0	1882.5	21
5	20	1871.5	-0.0	1913.0	22
5	21	1760.5	0.0	-19.5	2
6	22	1841.0	1740.0	0.0	1
6	23	1841.0	430.0	0.0	1
6	24	1841.0	1085.0	1882.5	21
7	25	1544.0	1841.0	0.0	1
7	26	234.0	1841.0	0.0	1
7	27	889.0	1841.0	1882.5	21
